source,target,value
195475105,380580781,42.77
195475105,280935165,42.77
197504076,133055665,32.76
195475105,292598082,42.77
197504076,151338729,32.76
187773078,314316607,35.33
195475105,27633075,42.77
88323281,239144776,33.65
195475105,43003845,42.77
187773078,133055665,35.33
88323281,333161611,33.65
197504076,222411742,32.76
197504076,149538028,32.76
195475105,17675120,42.77
187773078,220368467,35.33
195475105,187773078,42.77
195475105,148519842,42.77
197504076,34428380,32.76
195475105,225444667,42.77
187773078,103598216,35.33
187773078,153226312,35.33
187773078,40981798,35.33
197504076,172883064,32.76
195475105,124528830,42.77
195475105,157829215,42.77
195475105,430268163,42.77
195475105,19493072,42.77
187773078,124528830,35.33
195475105,206923844,42.77
187773078,31331740,35.33
88323281,358775055,33.65
88323281,34428380,33.65
197504076,18996905,32.76
187773078,307458983,35.33
197504076,270449528,32.76
187773078,270449528,35.33
88323281,220368467,33.65
195475105,2367911,42.77
195475105,123371682,42.77
197504076,40981798,32.76
195475105,149538028,42.77
197504076,69592091,32.76
187773078,46209291,35.33
187773078,204317520,35.33
195475105,27077521,42.77
197504076,125120339,32.76
197504076,166214735,32.76
195475105,248883350,42.77
88323281,324201646,33.65
195475105,83417972,42.77
88323281,236143101,33.65
195475105,283306479,42.77
195475105,214328887,42.77
88323281,259842341,33.65
88323281,8163442,33.65
187773078,83943787,35.33
197504076,88323281,32.76
88323281,460282402,33.65
187773078,451250774,35.33
197504076,153226312,32.76
88323281,27077521,33.65
187773078,27633075,35.33
197504076,279787626,32.76
88323281,134940306,33.65
88323281,133055665,33.65
195475105,6581292,42.77
197504076,163238842,32.76
197504076,294752666,32.76
88323281,222261763,33.65
195475105,107830991,42.77
88323281,116498875,33.65
197504076,195475105,32.76
195475105,22462180,42.77
195475105,31331740,42.77
195475105,451250774,42.77
195475105,151338729,42.77
187773078,19358562,35.33
88323281,157829215,33.65
197504076,262340283,32.76
195475105,238201669,42.77
197504076,86221475,32.76
195475105,172883064,42.77
195475105,17434613,42.77
195475105,46209291,42.77
195475105,222261763,42.77
88323281,113058991,33.65
197504076,113058991,32.76
197504076,248883350,32.76
187773078,380580781,35.33
88323281,314316607,33.65
88323281,288485704,33.65
88323281,19933035,33.65
88323281,27633075,33.65
195475105,117674417,42.77
197504076,213777144,32.76
88323281,258140947,33.65
88323281,375317198,33.65
187773078,123371682,35.33
187773078,203338499,35.33
197504076,394263193,32.76
